Job Type,Scale 1,Scale 2,Scale 3,Scale 4,Scale 5,Scale 6,Scale 7,Scale 8,Scale 9,Scale 10,Scale 11,Scale 12,Scale 13,Scale 14,Scale 15,Scale 16,Scale 17,Scale 18,,,,,,,,,,,,,,,,,
UNIVERSITY TEACHER,46955,49543,51676,53644,55689,57323,58990,60654,62314,63965,65630,67395,69070,,,,,,,,,
ASSOCIATE TEACHER,37008,39126,40060,41945,43130,44464,45716,46978,47948,50419,,,,,,,,,,,,,,,,,
THERAPIES REGIONAL SUPERVISORS,62038,,,,,,,,,,,,,,,,,
REGIONAL PLACEMENT FACILITATOR,63360,64724,66076,67430,68853,70352,71848,73048,,,,,,,,,,,,,,,,,
CLINICAL TUTOR,66452,69009,71509,73344,75794,78252,,,,,,,,,,,,,,,,,
CLINICAL FELLOW,74499,76258,78804,81095,84824,88562,92294,,,,,,,,,,,,,,,,,
ASSISTANT SENIOR INSTRUCTOR,31099,,,,,,,,,,,,,,,,,
LEAD INSTRUCTOR,29370,,,,,,,,,,,,,,,,,
MULTI ACTIVITY INSTRUCTOR (GRADE 1),25334,27639,,,,,,,,,,,,,,,,,
MULTI ACTIVITY INSTRUCTOR (GRADE 2),25910,,,,,,,,,,,,,,,,,
ASSISTANT INSTRUCTOR,23363,25576,,,,,,,,,,,,,,,,,
CO-OP STUDENTS,25306,25350,,,,,,,,,,,,,,,,,
